"","EcoRegion"
"1001","E"
"1002","E"
"1003","E"
"1004","E"
"1005","E"
"1006","E"
"1007","E"
"1008","E"
"1009","E"
"1010","E"
"1011","E"
"1012","E"
"1013","E"
"1014","E"
"1015","E"
"1016","E"
"1017","E"
"1018","E"
"1019","E"
"1020","E"
"1021","E"
"1022","E"
"1023","E"
"1024","E"
"1025","E"
"1026","E"
"1027","E"
"1028","E"
"1029","E"
"1030","E"
"1031","E"
"1032","E"
"1033","E"
"1111","E"
"1112","E"
"1113","E"
"1114","E"
"1115","E"
"1116","E"
"1117","E"
"1118","E"
"1119","E"
"1120","E"
"1121","E"
"1122","E"
"1123","E"
"1124","E"
"1125","E"
"1126","E"
"1127","E"
"1128","E"
"1129","E"
"1130","E"
"1131","E"
"1132","E"
"1133","E"
"1134","E"
"1135","E"
"1136","E"
"1137","E"
"1138","E"
"1139","E"
"1140","E"
"1141","E"
"1142","E"
"1143","E"
"1144","E"
"1145","E"
"1146","E"
"1147","E"
"1148","E"
"1149","E"
"1150","E"
"1151","E"
"1152","E"
"1153","E"
"1154","E"
"1155","E"
"1156","E"
"1157","E"
"1158","E"
"1220","E"
"1221","E"
"1222","E"
"1223","E"
"1224","E"
"1225","E"
"1226","E"
"1227","E"
"1228","E"
"1229","E"
"1230","E"
"1231","E"
"1232","E"
"1233","E"
"1234","E"
"1235","E"
"1236","E"
"1237","E"
"1238","E"
"1239","E"
"1240","E"
"1241","E"
"1242","E"
"1243","E"
"1244","E"
"1245","E"
"1246","E"
"1247","E"
"1248","E"
"1249","E"
"1250","E"
"1251","E"
"1252","E"
"1253","E"
"1254","E"
"1255","E"
"1256","E"
"1257","E"
"1258","E"
"1259","E"
"1260","E"
"1261","E"
"1262","E"
"1263","E"
"1264","E"
"1265","E"
"1266","E"
"1338","E"
"1339","E"
"1340","E"
"1341","E"
"1342","E"
"1343","E"
"1344","E"
"1345","E"
"1346","E"
"1347","E"
"1348","E"
"1349","E"
"1350","E"
"1351","E"
"1352","E"
"1353","E"
"1354","E"
"1355","E"
"1356","E"
"1357","E"
"1358","E"
"1359","E"
"1360","E"
"1361","E"
"1362","E"
"1363","E"
"1364","E"
"1365","E"
"1366","E"
"1367","E"
"1368","E"
"1369","E"
"1370","E"
"1371","E"
"1372","E"
"1373","E"
"1374","E"
"1375","E"
"1376","E"
"1377","E"
"1378","E"
"1379","E"
"1380","E"
"1381","E"
"1382","E"
"1383","E"
"1384","E"
"1385","E"
"1386","E"
"1387","E"
"1450","E"
"1451","E"
"1452","E"
"1453","E"
"1454","E"
"1455","E"
"1456","E"
"1457","E"
"1458","E"
"1459","E"
"1460","E"
"1461","E"
"1462","E"
"1463","E"
"1464","E"
"1465","E"
"1466","E"
"1467","E"
"1468","E"
"1469","E"
"1470","E"
"1471","E"
"1472","E"
"1473","E"
"1474","E"
"1475","E"
"1476","E"
"1477","E"
"1478","E"
"1479","E"
"1480","E"
"1481","E"
"1482","E"
