"idade_local" "biome"
"1001" NA "Temperate"
"1002" NA "Temperate"
"1003" NA "Temperate"
"1004" NA "Temperate"
"1005" NA "Temperate"
"1006" NA "Temperate"
"1007" NA "Temperate"
"1008" NA "Temperate"
"1009" NA "Temperate"
"1010" NA "Temperate"
"1011" NA "Temperate"
"1012" NA "Temperate"
"1013" NA "Temperate"
"1014" NA "Temperate"
"1015" NA "Temperate"
"1016" NA "Temperate"
"1017" NA "Temperate"
"1018" NA "Temperate"
"1019" NA "Temperate"
"1020" NA "Temperate"
"1021" NA "Temperate"
"1022" NA "Temperate"
"1023" NA "Temperate"
"1024" NA "Temperate"
"1025" NA "Temperate"
"1026" NA "Temperate"
"1027" NA "Temperate"
"1028" NA "Temperate"
"1029" NA "Temperate"
"1030" NA "Temperate"
"1031" NA "Temperate"
"1032" NA "Temperate"
"1033" NA "Temperate"
"1111" NA "Temperate"
"1112" NA "Temperate"
"1113" NA "Temperate"
"1114" NA "Temperate"
"1115" NA "Temperate"
"1116" NA "Temperate"
"1117" NA "Temperate"
"1118" NA "Temperate"
"1119" NA "Temperate"
"1120" NA "Temperate"
"1121" NA "Temperate"
"1122" NA "Temperate"
"1123" NA "Temperate"
"1124" NA "Temperate"
"1125" NA "Temperate"
"1126" NA "Temperate"
"1127" NA "Temperate"
"1128" NA "Temperate"
"1129" NA "Temperate"
"1130" NA "Temperate"
"1131" NA "Temperate"
"1132" NA "Temperate"
"1133" NA "Temperate"
"1134" NA "Temperate"
"1135" NA "Temperate"
"1136" NA "Temperate"
"1137" NA "Temperate"
"1138" NA "Temperate"
"1139" NA "Temperate"
"1140" NA "Temperate"
"1141" NA "Temperate"
"1142" NA "Temperate"
"1143" NA "Temperate"
"1144" NA "Temperate"
"1145" NA "Temperate"
"1146" NA "Temperate"
"1147" NA "Temperate"
"1148" NA "Temperate"
"1149" NA "Temperate"
"1150" NA "Temperate"
"1151" NA "Temperate"
"1152" NA "Temperate"
"1153" NA "Temperate"
"1154" NA "Temperate"
"1155" NA "Temperate"
"1156" NA "Temperate"
"1157" NA "Temperate"
"1158" NA "Temperate"
"1220" NA "Temperate"
"1221" NA "Temperate"
"1222" NA "Temperate"
"1223" NA "Temperate"
"1224" NA "Temperate"
"1225" NA "Temperate"
"1226" NA "Temperate"
"1227" NA "Temperate"
"1228" NA "Temperate"
"1229" NA "Temperate"
"1230" NA "Temperate"
"1231" NA "Temperate"
"1232" NA "Temperate"
"1233" NA "Temperate"
"1234" NA "Temperate"
"1235" NA "Temperate"
"1236" NA "Temperate"
"1237" NA "Temperate"
"1238" NA "Temperate"
"1239" NA "Temperate"
"1240" NA "Temperate"
"1241" NA "Temperate"
"1242" NA "Temperate"
"1243" NA "Temperate"
"1244" NA "Temperate"
"1245" NA "Temperate"
"1246" NA "Temperate"
"1247" NA "Temperate"
"1248" NA "Temperate"
"1249" NA "Temperate"
"1250" NA "Temperate"
"1251" NA "Temperate"
"1252" NA "Temperate"
"1253" NA "Temperate"
"1254" NA "Temperate"
"1255" NA "Temperate"
"1256" NA "Temperate"
"1257" NA "Temperate"
"1258" NA "Temperate"
"1259" NA "Temperate"
"1260" NA "Temperate"
"1261" NA "Temperate"
"1262" NA "Temperate"
"1263" NA "Temperate"
"1264" NA "Temperate"
"1265" NA "Temperate"
"1266" NA "Temperate"
"1338" NA "Temperate"
"1339" NA "Temperate"
"1340" NA "Temperate"
"1341" NA "Temperate"
"1342" NA "Temperate"
"1343" NA "Temperate"
"1344" NA "Temperate"
"1345" NA "Temperate"
"1346" NA "Temperate"
"1347" NA "Temperate"
"1348" NA "Temperate"
"1349" NA "Temperate"
"1350" NA "Temperate"
"1351" NA "Temperate"
"1352" NA "Temperate"
"1353" NA "Temperate"
"1354" NA "Temperate"
"1355" NA "Temperate"
"1356" NA "Temperate"
"1357" NA "Temperate"
"1358" NA "Temperate"
"1359" NA "Temperate"
"1360" NA "Temperate"
"1361" NA "Temperate"
"1362" NA "Temperate"
"1363" NA "Temperate"
"1364" NA "Temperate"
"1365" NA "Temperate"
"1366" NA "Temperate"
"1367" NA "Temperate"
"1368" NA "Temperate"
"1369" NA "Temperate"
"1370" NA "Temperate"
"1371" NA "Temperate"
"1372" NA "Temperate"
"1373" NA "Temperate"
"1374" NA "Temperate"
"1375" NA "Temperate"
"1376" NA "Temperate"
"1377" NA "Temperate"
"1378" NA "Temperate"
"1379" NA "Temperate"
"1380" NA "Temperate"
"1381" NA "Temperate"
"1382" NA "Temperate"
"1383" NA "Temperate"
"1384" NA "Temperate"
"1385" NA "Temperate"
"1386" NA "Temperate"
"1387" NA "Temperate"
"1450" NA "Temperate"
"1451" NA "Temperate"
"1452" NA "Temperate"
"1453" NA "Temperate"
"1454" NA "Temperate"
"1455" NA "Temperate"
"1456" NA "Temperate"
"1457" NA "Temperate"
"1458" NA "Temperate"
"1459" NA "Temperate"
"1460" NA "Temperate"
"1461" NA "Temperate"
"1462" NA "Temperate"
"1463" NA "Temperate"
"1464" NA "Temperate"
"1465" NA "Temperate"
"1466" NA "Temperate"
"1467" NA "Temperate"
"1468" NA "Temperate"
