rows_name	biome
N393	CFI
N394	CFI
N395	CFI
N396	CFI
N397	CFI
N398	FI
N399	FI
N400	CFI
N401	CFI
N402	CFI
N403	CFI
N404	CFI
N405	CFI
N406	CFI
N407	CFI
N408	CFI
N409	CFI
N410	CFI
N411	CFI
N412	FI
N413	F
N414	FIJ
N415	FIJ
N416	FIJ
N417	FIJ
N418	FIJ
N419	FIJ
N420	FIJ
N421	FIJ
N422	FIJ
N423	FIJ
N424	FIJ
N425	FIJ
N426	FJK
N427	FJK
N428	FJK
N429	JK
N430	FK
N431	FK
N432	DFI
N433	DFI
N434	DFI
N435	DFI
N436	CFI
N437	CFI
N438	CFI
N439	CFI
N440	CFI
N441	CFI
N442	CFI
N443	CFI
N444	CFI
N445	CFI
N446	CFI
N447	CFI
N448	CFI
N449	CFI
N450	CFI
N451	CFI
N452	CFI
N453	CFI
N454	FI
N455	FI
N456	FI
N457	CFI
N458	CFI
N459	FI
N460	FI
N461	CFI
N462	F
N463	CFI
N464	CFI
N465	CF
N466	CFI
N467	CFI
N468	CFI
N469	CFI
N470	CFI
N471	CFI
N472	CFI
N473	F
N474	F
N475	F
N476	F
N477	F
N478	F
N479	F
N480	F
N481	F
N482	CFI
N483	CFI
N484	CFK
N485	CFK
N486	CFK
N487	CFI
N488	CFI
N489	CFI
N490	CFI
N491	CFI
N492	CFI
N493	CFI
N494	CFK
N495	CFI
N496	FI
N497	CFI
N498	CFI
N499	CFI
N500	CFI
N501	CFI
N502	CFI
N503	CFI
N504	CFI
N505	CFI
N506	CFI
N507	CFI
N508	CFI
N509	CFI
N510	CFI
N511	CFI
N512	CFI
N513	CFI
N514	CFI
N515	CFI
N516	CF
N517	CF
N518	CDF
N519	CDJ
N520	CDF
N521	CDF
N522	CDF
N523	CFI
N524	CFI
N525	CDF
N526	FI
N527	CFI
N528	CF
N529	CDF
N530	DF
N531	CD
N532	CFI
N533	CFI
N534	FI
N535	CFI
N536	CFI
N537	FI
N538	FI
N539	FI
N540	FI
N541	CFI
N542	CFI
N543	CFI
N544	CDF
N545	CDF
N546	CDF
N547	CDF
N548	CDF
N549	CDF
N550	CFI
N551	C
N552	CF
N553	C
N554	CFI
N555	CFI
N556	CFI
N557	CFI
N558	CFI
N559	CFI
N560	DFI
N561	CFI
N562	CFI
N563	CDF
N564	F
N565	CF
N566	CF
N567	CDF
N568	CDF
N569	CD
N570	CD
N571	CDH
N572	CD
N573	CDF
N574	CF
N575	CF
N576	CF
N577	CF
N578	CH
N579	F
N580	F
N581	F
N582	F
N583	F
N584	F
N585	CDF
N586	CDF
N587	CDF
N588	CDF
N589	CDF
N590	CDF
N591	CFI
N592	CFI
N593	CF
N594	CF
N595	CF
N596	CDF
N597	CDF
N598	CFI
N599	CFI
N600	CFI
N601	CFI
N602	GJK
N603	GK
N604	GK
N605	GJK
N606	GJK
N607	GJK
N608	FK
N609	FK
N610	FK
N611	FK
N612	CFI
N613	CFI
N614	GIJ
N615	CFI
N616	CFI
N617	CFI
N618	CFI
N619	CFI
N620	CFI
N621	CFI
N622	CFI
N623	CFI
N624	CFI
N625	CFI
N626	CFI
N627	CF
N628	CFI
N629	CFI
N630	FIJ
N631	FIJ
N632	FIJ
N633	FIJ
N634	FIJ
N635	FIJ
N636	FIJ
N637	FIJ
N638	FIJ
N639	IJK
N640	FIJ
N641	FI
N642	FK
N643	FK
N644	FK
N645	CFI
N646	CFI
N647	CFI
N648	CFI
N649	CFI
N650	CFI
N651	CFI
N652	CFI
N653	CFI
N654	CFI
N655	CFI
N656	CFI
N657	CFI
N658	CFI
N659	CFI
N660	CFK
N661	CFK
N662	CFK
N663	FK
N664	FK
N665	FK
N666	CFK
N667	CFK
N668	CFK
N669	CFK
N670	CFI
N671	CFK
N672	CFI
N673	FIJ
N674	FIL
N675	FI
N676	FIL
N677	CFI
N678	CFI
N679	CFI
N680	CFI
N681	CFI
N682	CFI
N683	CFI
N684	CFI
N685	CFI
N686	CFI
N687	CFI
N688	CFI
N689	CFI
N690	CFI
N691	CFI
N692	CFI
N693	CFI
N694	CFI
N695	CFI
N696	F
N697	F
N698	F
N699	F
N700	F
N701	CFI
N702	CFI
N703	CFI
N704	CFI
N705	CFI
N706	CFI
N707	CFI
N708	CFI
N709	CFI
N710	CFI
N711	CFI
N712	CFI
N713	CFI
N714	CFI
N715	CFI
N716	CFI
N717	FI
N718	FI
N719	FI
N720	FI
N721	CF
N722	CFI
N723	CFI
N724	CFI
N725	CFI
N726	CFI
N727	CFI
N728	CFI
N729	FI
N730	FI
N731	FI
N732	CFI
N733	CFI
N734	CFI
N735	CFI
N736	CFI
N737	CFI
N738	FI
N739	CFK
N740	CFI
N741	CFI
N742	CFI
N743	CF
N744	FI
N745	FI
N746	CFI
N747	CFI
N748	CF
N749	CFI
N750	CFI
N751	CFI
N752	CFI
N753	CFI
N754	CFI
N755	FI
N756	CFI
N757	CFI
N758	CEI
N759	CFI
N760	CFI
N761	CFI
N762	CFI
N763	CFI
N764	FI
N765	CFI
N766	CFI
N767	FI
N768	F
N769	F
N770	F
N771	F
N772	CFI
N773	CFI
N774	CF
N775	F
N776	CFI
N777	CFI
N778	CFI
N779	DFI
N780	CF
N781	CFI
N782	CFI
N783	CFI
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
