"rows_name";"biome"
1;"F"
2;"F"
3;"F"
4;"F"
5;"F"
6;"F"
7;"F"
8;"F"
9;"F"
10;"F"
11;"CDF"
12;"CDF"
13;"CD"
14;"CD"
15;"CD"
16;"CD"
17;"F"
18;"CD"
19;"J"
20;"CH"
21;"CH"
22;"CF"
23;"E"
24;"FG"
25;"J"
26;"CF"
27;"CF"
28;"CDF"
29;"J"
30;"CDF"
31;"CDF"
32;"CDF"
33;"CFI"
34;"CFI"
35;"CFI"
36;"CF"
37;"CF"
38;"CFI"
39;"FK"
40;"FK"
41;"FK"
42;"FK"
43;"JK"
44;"JK"
45;"JK"
46;"JK"
47;"FJK"
48;"IJ"
49;"IJ"
50;"IJ"
51;"FI"
52;"J"
53;"CFI"
54;"CFI"
55;"CF"
56;"CF"
57;"CF"
58;"CF"
59;"CF"
60;"CFI"
61;"CFI"
62;"CFI"
63;"CFI"
64;"CFI"
65;"CFI"
66;"CFI"
67;"CFI"
68;"CFI"
69;"C"
70;"CI"
71;"JK"
72;"JK"
73;"GJK"
74;"GJK"
75;"G"
76;"DFK"
77;"DFK"
78;"DFK"
79;"FK"
80;"FK"
81;"FK"
82;"GJK"
83;"CFI"
84;"CFI"
85;"CFI"
86;"CFI"
87;"CFI"
88;"CFI"
89;"CFI"
90;"CFI"
91;"DFI"
92;"DFI"
93;"DFI"
94;"CFI"
95;"CFI"
96;"CFI"
97;"CFI"
98;"CFI"
99;"CFI"
100;"FK"
101;"FK"
102;"FK"
103;"FK"
104;"CFK"
105;"CFK"
106;"CFK"
107;"CFK"
108;"FK"
109;"FK"
110;"CFK"
111;"CFK"
112;"CFK"
113;"CFK"
114;"F"
115;"F"
116;"FI"
117;"FI"
118;"CFI"
119;"CFI"
120;"CFI"
121;"CFI"
122;"CDJ"
123;"CDJ"
124;"CD"
125;"G"
126;"CDF"
127;"CDF"
128;"CDF"
129;"CFI"
130;"FI"
131;"FI"
132;"CFI"
133;"CFI"
134;"F"
135;"F"
136;"CFI"
137;"FI"
138;"FI"
139;"FI"
140;"FI"
141;"CFI"
142;"CFI"
143;"CFI"
144;"CFI"
145;"FI"
146;"FI"
147;"CFI"
148;"CFI"
149;"CFI"
150;"CFI"
151;"CFI"
152;"CFI"
153;"CFI"
154;"CFI"
155;"CFI"
156;"CFI"
157;"CFI"
158;"CF"
159;"CF"
160;"C"
161;"C"
162;"CF"
163;"CDF"
164;"CDF"
165;"CDF"
166;"CDF"
167;"CDF"
168;"CDF"
169;"CDF"
170;"CDF"
171;"CFI"
172;"CFI"
173;"CFI"
174;"CFI"
175;"CFI"
176;"CFI"
177;"CFI"
178;"CF"
179;"CF"
180;"CFI"
181;"CFI"
182;"FJK"
183;"FJK"
184;"FJK"
185;"FK"
186;"D"
187;"F"
188;"F"
189;"FIJ"
190;"FIJ"
191;"FIJ"
192;"FIJ"
193;"FIJ"
194;"FIJ"
195;"FIJ"
196;"FIJ"
197;"FIJ"
198;"FIJ"
199;"FIJ"
200;"FIJ"
201;"FI"
202;"DFI"
203;"DFI"
204;"F"
205;"F"
206;"DFI"
207;"CFI"
208;"CFI"
209;"FI"
210;"FI"
211;"FI"
212;"FI"
213;"CFI"
214;"CFI"
215;"FI"
216;"FI"
217;"CFI"
218;"CFI"
219;"CFI"
220;"CFI"
221;"CFI"
222;"CFI"
223;"CFI"
224;"CFI"
225;"CFI"
226;"CFI"
227;"CFI"
228;"CFI"
229;"CFI"
230;"CFI"
231;"CFI"
232;"CFI"
233;"CFI"
234;"CFI"
235;"CFI"
236;"CFI"
237;"CFK"
238;"CFK"
239;"CFK"
240;"CFI"
241;"F"
242;"F"
243;"CF"
244;"CFI"
245;"CF"
246;"FK"
247;"FK"
248;"FK"
249;"CFK"
250;"CF"
251;"CFI"
252;"CFI"
253;"CFI"
254;"CFI"
255;"CFI"
256;"CFI"
257;"FI"
258;"FI"
259;"CF"
260;"CF"
261;"CF"
262;"CF"
263;"CFI"
264;"CFI"
265;"CF"
266;"F"
267;"F"
268;"CFI"
269;"CFI"
270;"CFI"
271;"CFI"
272;"FI"
273;"FI"
274;"F"
275;"CEI"
276;"CF"
277;"CF"
278;"CF"
279;"CFI"
280;"CFI"
281;"CFI"
282;"FI"
283;"FI"
284;"CFI"
285;"CFI"
286;"CFI"
287;"CFI"
288;"CFI"
289;"CFI"
290;"DFI"
291;"DFI"
292;"CFI"
293;"CFI"
294;"FI"
295;"FI"
296;"FI"
297;"CF"
298;"CF"
299;"CF"
300;"CFI"
301;"CFI"
302;"FI"
303;"FI"
304;"CFI"
305;"CFI"
306;"CFI"
307;"CFI"
308;"CFI"
309;"F"
310;"F"
311;"CF"
312;"CF"
313;"CF"
314;"CF"
315;"CFI"
316;"CFI"
317;"CFI"
318;"CFI"
319;"CFI"
320;"CFI"
321;"CFI"
322;"CFI"
323;"CFI"
324;"CFI"
325;"CFI"
326;"FI"
327;"FI"
328;"FI"
329;"FI"
330;"FI"
331;"CF"
332;"CF"
333;"CF"
334;"CF"
335;"FI"
336;"FI"
337;"CFI"
338;"CF"
339;"CF"
340;"CFI"
341;"CFI"
342;"CF"
343;"CF"
344;"F"
345;"CF"
346;"CF"
347;"CFI"
348;"CFI"
349;"F"
350;"F"
351;"FI"
352;"FI"
353;"FI"
354;"FI"
355;"FI"
356;"CFI"
357;"CFI"
358;"CFI"
359;"CFI"
360;"CFI"
361;"CFI"
362;"F"
363;"F"
364;"F"
365;"F"
366;"FI"
367;"CFI"
368;"CFI"
369;"CFI"
370;"CFI"
371;"CFI"
372;"FI"
373;"FI"
374;"CFI"
375;"CFI"
376;"CFI"
377;"CFI"
378;"CFI"
379;"CFI"
380;"CFI"
381;"CFI"
382;"CFI"
383;"CFI"
384;"CFI"
385;"CFI"
386;"CFI"
387;"CFI"
388;"CFI"
389;"CFI"
390;"CFI"
391;"CFI"
392;"CFI"
393;"CFI"
394;"CFI"
395;"CFI"
396;"CFI"
397;"CFI"
398;"CF"
399;"CF"
400;"CF"
401;"F"
402;"F"
403;"F"
404;"F"
405;"F"
406;"F"
407;"F"
408;"F"
409;"CF"
410;"CF"
411;"CF"
412;"CF"
413;"CF"
414;"CD"
415;"CD"
416;"CD"
417;"CD"
418;"CD"
419;"CF"
420;"CF"
421;"CF"
422;"CF"
423;"CF"
424;"CF"
425;"CF"
426;"CDF"
427;"CF"
428;"CFI"
429;"CFI"
430;"CFI"
431;"CFI"
432;"CFI"
433;"CFI"
434;"CFI"
435;"CFI"
436;"CFI"
437;"CFI"
438;"CFI"
439;"CFI"
440;"FI"
441;"FK"
442;"FK"
443;"FK"
444;"FK"
445;"FJK"
446;"FJK"
447;"JK"
448;"FI"
449;"FI"
450;"IJ"
451;"CFI"
452;"CFI"
453;"CFI"
454;"CFI"
455;"CFI"
456;"CFI"
457;"CFI"
458;"CFI"
459;"CF"
460;"CFI"
461;"CFI"
462;"CFI"
463;"CFI"
464;"CFI"
465;"CFI"
466;"CFI"
467;"GJK"
468;"FK"
469;"FK"
470;"G"
471;"GJK"
472;"GJK"
473;"GJK"
474;"FK"
475;"DFK"
476;"FK"
477;"CFI"
478;"CFI"
479;"CFI"
480;"CFI"
481;"CFI"
482;"CFI"
483;"CFI"
484;"CFI"
485;"CFI"
486;"CFI"
487;"CFI"
488;"DFI"
489;"CFI"
490;"CFI"
491;"CFI"
492;"CFI"
493;"CFI"
494;"CF"
495;"CFK"
496;"CFK"
497;"CFK"
498;"CFK"
499;"CFK"
500;"FK"
501;"FK"
502;"CFK"
503;"CFK"
504;"CFK"
505;"CF"
506;"CFK"
507;"CFK"
508;"CFI"
509;"CFI"
510;"CFI"
511;"CFI"
512;"CFI"
513;"CFI"
514;"CFI"
515;"CFI"
516;"CFI"
517;"CFI"
518;"CFI"
519;"CFI"
520;"CFI"
521;"CFI"
522;"CFI"
523;"CDF"
524;"CDF"
525;"CD"
526;"CD"
527;"CDF"
528;"CFI"
529;"CFI"
530;"CFI"
531;"CFI"
532;"CFI"
533;"CFI"
534;"CFI"
535;"CFI"
536;"FI"
537;"FI"
538;"CFI"
539;"CFI"
540;"CFI"
541;"CFI"
542;"CFI"
543;"CFI"
544;"CFI"
545;"CFI"
546;"CFI"
547;"CFI"
548;"CFI"
549;"CFI"
550;"CFI"
551;"CFI"
552;"CDF"
553;"CDF"
554;"CDF"
555;"CDF"
556;"CDF"
557;"CF"
558;"CF"
559;"CF"
560;"CDF"
561;"CDF"
562;"CDF"
563;"CFI"
564;"CFI"
565;"CFI"
566;"CFI"
567;"CFI"
568;"CFI"
569;"CFI"
570;"CFI"
571;"CFI"
572;"CFI"
573;"CFI"
574;"CFI"
575;"CFI"
576;"FI"
577;"FI"
578;"FIJ"
579;"FIJ"
580;"FJ"
581;"FJK"
582;"FJK"
583;"FJK"
584;"FJ"
585;"FIJ"
586;"FIJ"
587;"FIJ"
588;"FIJ"
589;"FIJ"
590;"FIJ"
591;"FIJ"
592;"FIJ"
593;"FIJ"
594;"FIJ"
595;"FI"
596;"DFI"
597;"DFI"
598;"F"
599;"CFI"
600;"CFI"
601;"CFI"
602;"CFI"
603;"CFI"
604;"CFI"
605;"CFI"
606;"FI"
607;"FI"
608;"CFI"
609;"CFI"
610;"CFI"
611;"CFI"
612;"CFI"
613;"CFI"
614;"CFI"
615;"CFI"
616;"CFI"
617;"CFI"
618;"CFI"
619;"CFI"
620;"CFI"
621;"CFI"
622;"CFI"
