"rows_name" "biome"
"1" 1 "F"
"2" 2 "F"
"3" 3 "F"
"4" 4 "F"
"5" 5 "F"
"6" 6 "F"
"7" 7 "F"
"8" 8 "F"
"9" 9 "F"
"10" 10 "F"
"11" 11 "CDF"
"12" 12 "CDF"
"13" 13 "CD"
"14" 14 "CD"
"15" 15 "CD"
"16" 16 "CD"
"17" 17 "F"
"18" 18 "CD"
"19" 19 "J"
"20" 20 "CH"
"21" 21 "CH"
"22" 22 "CF"
"23" 23 "E"
"24" 24 "FG"
"25" 25 "J"
"26" 26 "CF"
"27" 27 "CF"
"28" 28 "CDF"
"29" 29 "J"
"30" 30 "CDF"
"31" 31 "CDF"
"32" 32 "CDF"
"33" 33 "CFI"
"34" 34 "CFI"
"35" 35 "CFI"
"36" 36 "CF"
"37" 37 "CF"
"38" 38 "CFI"
"39" 39 "FK"
"40" 40 "FK"
"41" 41 "FK"
"42" 42 "FK"
"43" 43 "JK"
"44" 44 "JK"
"45" 45 "JK"
"46" 46 "JK"
"47" 47 "FJK"
"48" 48 "IJ"
"49" 49 "IJ"
"50" 50 "IJ"
"51" 51 "FI"
"52" 52 "J"
"53" 53 "CFI"
"54" 54 "CFI"
"55" 55 "CF"
"56" 56 "CF"
"57" 57 "CF"
"58" 58 "CF"
"59" 59 "CF"
"60" 60 "CFI"
"61" 61 "CFI"
"62" 62 "CFI"
"63" 63 "CFI"
"64" 64 "CFI"
"65" 65 "CFI"
"66" 66 "CFI"
"67" 67 "CFI"
"68" 68 "CFI"
"69" 69 "C"
"70" 70 "CI"
"71" 71 "JK"
"72" 72 "JK"
"73" 73 "GJK"
"74" 74 "GJK"
"75" 75 "G"
"76" 76 "DFK"
"77" 77 "DFK"
"78" 78 "DFK"
"79" 79 "FK"
"80" 80 "FK"
"81" 81 "FK"
"82" 82 "GJK"
"83" 83 "CFI"
"84" 84 "CFI"
"85" 85 "CFI"
"86" 86 "CFI"
"87" 87 "CFI"
"88" 88 "CFI"
"89" 89 "CFI"
"90" 90 "CFI"
"91" 91 "DFI"
"92" 92 "DFI"
"93" 93 "DFI"
"94" 94 "CFI"
"95" 95 "CFI"
"96" 96 "CFI"
"97" 97 "CFI"
"98" 98 "CFI"
"99" 99 "CFI"
"100" 100 "FK"
"101" 101 "FK"
"102" 102 "FK"
"103" 103 "FK"
"104" 104 "CFK"
"105" 105 "CFK"
"106" 106 "CFK"
"107" 107 "CFK"
"108" 108 "FK"
"109" 109 "FK"
"110" 110 "CFK"
"111" 111 "CFK"
"112" 112 "CFK"
"113" 113 "CFK"
"114" 114 "F"
"115" 115 "F"
"116" 116 "FI"
"117" 117 "FI"
"118" 118 "CFI"
"119" 119 "CFI"
"120" 120 "CFI"
"121" 121 "CFI"
"122" 122 "CDJ"
"123" 123 "CDJ"
"124" 124 "CD"
"125" 125 "G"
"126" 126 "CDF"
"127" 127 "CDF"
"128" 128 "CDF"
"129" 129 "CFI"
"130" 130 "FI"
"131" 131 "FI"
"132" 132 "CFI"
"133" 133 "CFI"
"134" 134 "F"
"135" 135 "F"
"136" 136 "CFI"
"137" 137 "FI"
"138" 138 "FI"
"139" 139 "FI"
"140" 140 "FI"
"141" 141 "CFI"
"142" 142 "CFI"
"143" 143 "CFI"
"144" 144 "CFI"
"145" 145 "FI"
"146" 146 "FI"
"147" 147 "CFI"
"148" 148 "CFI"
"149" 149 "CFI"
"150" 150 "CFI"
"151" 151 "CFI"
"152" 152 "CFI"
"153" 153 "CFI"
"154" 154 "CFI"
"155" 155 "CFI"
"156" 156 "CFI"
"157" 157 "CFI"
"158" 158 "CF"
"159" 159 "CF"
"160" 160 "C"
"161" 161 "C"
"162" 162 "CF"
"163" 163 "CDF"
"164" 164 "CDF"
"165" 165 "CDF"
"166" 166 "CDF"
"167" 167 "CDF"
"168" 168 "CDF"
"169" 169 "CDF"
"170" 170 "CDF"
"171" 171 "CFI"
"172" 172 "CFI"
"173" 173 "CFI"
"174" 174 "CFI"
"175" 175 "CFI"
"176" 176 "CFI"
"177" 177 "CFI"
"178" 178 "CF"
"179" 179 "CF"
"180" 180 "CFI"
"181" 181 "CFI"
"182" 182 "FJK"
"183" 183 "FJK"
"184" 184 "FJK"
"185" 185 "FK"
"186" 186 "D"
"187" 187 "F"
"188" 188 "F"
"189" 189 "FIJ"
"190" 190 "FIJ"
"191" 191 "FIJ"
"192" 192 "FIJ"
"193" 193 "FIJ"
"194" 194 "FIJ"
"195" 195 "FIJ"
"196" 196 "FIJ"
"197" 197 "FIJ"
"198" 198 "FIJ"
"199" 199 "FIJ"
"200" 200 "FIJ"
"201" 201 "FI"
"202" 202 "DFI"
"203" 203 "DFI"
"204" 204 "F"
"205" 205 "F"
"206" 206 "DFI"
"207" 207 "CFI"
"208" 208 "CFI"
"209" 209 "FI"
"210" 210 "FI"
"211" 211 "FI"
"212" 212 "FI"
"213" 213 "CFI"
"214" 214 "CFI"
"215" 215 "FI"
"216" 216 "FI"
"217" 217 "CFI"
"218" 218 "CFI"
"219" 219 "CFI"
"220" 220 "CFI"
"221" 221 "CFI"
"222" 222 "CFI"
"223" 223 "CFI"
"224" 224 "CFI"
"225" 225 "CFI"
"226" 226 "CFI"
"227" 227 "CFI"
"228" 228 "CFI"
"229" 229 "CFI"
"230" 230 "CFI"
"231" 231 "CFI"
"232" 232 "CFI"
"233" 233 "CFI"
"234" 234 "CFI"
"235" 235 "CFI"
"236" 236 "CFI"
"237" 237 "CFK"
"238" 238 "CFK"
"239" 239 "CFK"
"240" 240 "CFI"
"241" 241 "F"
"242" 242 "F"
"243" 243 "CF"
"244" 244 "CFI"
"245" 245 "CF"
"246" 246 "FK"
"247" 247 "FK"
"248" 248 "FK"
"249" 249 "CFK"
"250" 250 "CF"
"251" 251 "CFI"
"252" 252 "CFI"
"253" 253 "CFI"
"254" 254 "CFI"
"255" 255 "CFI"
"256" 256 "CFI"
"257" 257 "FI"
"258" 258 "FI"
"259" 259 "CF"
"260" 260 "CF"
"261" 261 "CF"
"262" 262 "CF"
"263" 263 "CFI"
"264" 264 "CFI"
"265" 265 "CF"
"266" 266 "F"
"267" 267 "F"
"268" 268 "CFI"
"269" 269 "CFI"
"270" 270 "CFI"
"271" 271 "CFI"
"272" 272 "FI"
"273" 273 "FI"
"274" 274 "F"
"275" 275 "CEI"
"276" 276 "CF"
"277" 277 "CF"
"278" 278 "CF"
"279" 279 "CFI"
"280" 280 "CFI"
"281" 281 "CFI"
"282" 282 "FI"
"283" 283 "FI"
